recipe_name,meal_category,yield_quantity,cuisine,suitable_nationalities,ingredients_count,ingredients,verification_status,source_authority,source_url,last_verified_on,source_notes
أبما سميد هندي,إفطار / Breakfast,100,هندي / Indian,الهند,6,سميد:14 | بصل:3 | جزر:3 | بازلاء مجمدة:3 | زيت نباتي:1.5 | شاي:300,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أدوبو دجاج فلبيني,غداء / Lunch,100,فلبيني / Filipino,الفلبين,6,دجاج كامل مبرد:45 | صلصة صويا:4 | خل:3 | ثوم:1.5 | فلفل أسود:0.3 | أرز ياسمين:17,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز أبيض بالشعيرية,غداء / Lunch,100,عام / General,جميع البعثات,4,أرز بسمتي:18 | شعيرية:2 | زيت نباتي:2 | ملح:0.6,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز أوزبكي بلوف,غداء / Lunch,100,أوزبكي / Uzbek,أوزبكستان، طاجيكستان، كازاخستان، قرغيزستان، تركمانستان,6,أرز بسمتي:18 | لحم بقري:24 | جزر:7 | بصل:5 | زيت نباتي:3 | كمون:0.35,رسمي موثق / Official Verified,Uzbekistan Travel — official tourism portal,https://uzbekistan.travel/en/c/uzbek-cuisine/,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
أرز أوزي تركي,غداء / Lunch,100,تركي / Turkish,تركيا,6,أرز بسمتي:18 | لحم مفروم:15 | بازلاء مجمدة:4 | جزر:4 | زبيب:1.5 | لوز:1.2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز إندونيسي بالدجاج,غداء / Lunch,100,عام / General,جميع البعثات,7,أرز ياسمين:18 | صدور دجاج:22 | صلصة صويا:3 | بصل:3 | ثوم:1 | جزر:3 | فلفل رومي:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز بخاري بالدجاج,غداء / Lunch,100,عام / General,جميع البعثات,7,أرز بسمتي:18 | دجاج كامل مبرد:50 | جزر:4 | بصل:4 | معجون طماطم:2 | زيت نباتي:3 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز برغل,غداء / Lunch,100,تركي,بعثات تركي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز تركي بالدجاج,غداء / Lunch,100,عام / General,جميع البعثات,6,أرز بسمتي:18 | دجاج كامل مبرد:45 | معجون طماطم:2 | بصل:4 | فلفل رومي:3 | زيت نباتي:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز تونسي بالدجاج,غداء / Lunch,100,مغاربي,بعثات مغاربي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز جوز الهند,غداء / Lunch,100,إندونيسي,بعثات إندونيسي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز جولوف بالدجاج,غداء / Lunch,100,غرب أفريقي / West African,نيجيريا، غانا، السنغال، غينيا، ساحل العاج,7,أرز بسمتي:18 | دجاج كامل مبرد:42 | طماطم:7 | فلفل رومي:4 | بصل:5 | معجون طماطم:3 | فلفل حار:0.4,يحتاج مراجعة / Needs Review,Peer-reviewed Nigerian cuisine overview / ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1878450X26001526,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
أرز جولوف باللحم,غداء / Lunch,100,أفريقي,بعثات أفريقي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز صومالي بالدجاج,غداء / Lunch,100,صومالي / Somali,الصومال، جيبوتي,6,أرز بسمتي:18 | دجاج كامل مبرد:45 | زبيب:2 | قرفة:0.12 | هيل:0.08 | بصل:4,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز لزج بالدجاج,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز مقلي بالخضار,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز مقلي بالروبيان,غداء / Lunch,100,آسيوي / Asian,الصين، ماليزيا، سنغافورة,6,أرز ياسمين:18 | روبيان:16 | بيض:50 | بازلاء مجمدة:3 | جزر:3 | صلصة صويا:3,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز وصلصة الفول السوداني,غداء / Lunch,100,غرب أفريقي / West African,مالي، السنغال، موريتانيا، غينيا، ساحل العاج,6,أرز بسمتي:17 | لحم بقري:20 | زبدة فول سوداني:6 | طماطم:4 | بصل:4 | جزر:3,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
أرز وفاصوليا نيجيري,غداء / Lunch,100,نيجيري / Nigerian,نيجيريا، غانا,5,أرز بسمتي:14 | لوبيا:10 | طماطم:4 | بصل:3 | زيت نباتي:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أرز وكاري بنغلاديشي,غداء / Lunch,100,بنغلاديشي / Bangladeshi,بنغلاديش,6,أرز بسمتي:17 | صدور دجاج:22 | عدس أحمر:6 | جزر:4 | طماطم:4 | كاري بودرة:0.6,رسمي موثق / Official Verified,Bangladesh Tourism Board,https://tourismboard.gov.bd/sites/default/files/files/tourismboard.portal.gov.bd/page/aa3dacc5_f200_47c7_8445_12aff09f9450/BTB%20Tourist%20Handbook%20%281%29.pdf,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
أرز وكاري سريلانكي,غداء / Lunch,100,سريلانكي / Sri Lankan,سريلانكا,6,أرز بسمتي:17 | صدور دجاج:20 | حليب جوز الهند:8 | كاري بودرة:0.7 | عدس أحمر:5 | جزر:4,رسمي موثق / Official Verified,Sri Lanka Tourism,https://srilanka.travel/food,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
أرز ولحم غنم,غداء / Lunch,100,عام / General,جميع البعثات,7,أرز بسمتي:18 | لحم غنم:30 | بصل:4 | طماطم:3 | زيت نباتي:2 | بهارات مشكلة:0.5 | ملح:0.7,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
ألو غوبي,عشاء / Dinner,100,هندي / Indian,الهند,6,بطاطس:14 | قرنبيط:12 | بصل:3 | طماطم:3 | كركم:0.2 | كمون:0.2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أيام جورينج,غداء / Lunch,100,إندونيسي,بعثات إندونيسي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
أيام غورينغ,غداء / Lunch,100,إندونيسي / Indonesian,إندونيسيا,6,دجاج كامل مبرد:45 | صلصة صويا:3 | ثوم:1 | زنجبيل:0.8 | زيت نباتي:2 | أرز ياسمين:17,رسمي موثق / Official Verified,Indonesia Travel — official tourism portal,https://www.indonesia.travel/sa/ar/travel-ideas/gastronomy/the-ultimate-guide-to-must-try-indonesian-food,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إسكندر دجاج,غداء / Lunch,100,تركي / Turkish,تركيا,5,صدور دجاج:24 | خبز عربي:100 | زبادي:15 | معجون طماطم:3 | زبدة:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إفطار آسيوي,إفطار / Breakfast,100,عام / General,جميع البعثات,6,أرز ياسمين:12 | بيض:100 | صدور دجاج:12 | صلصة صويا:2 | خيار:4 | شاي:300,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إفطار أفريقي,إفطار / Breakfast,100,أفريقي / African,نيجيريا، غانا، كينيا، تنزانيا، إثيوبيا,6,فول:12 | بيض:100 | خبز توست:120 | موز:12 | شاي:300 | حليب:15,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إفطار إندونيسي ماليزي,إفطار / Breakfast,100,جنوب شرق آسيوي / Southeast Asian,إندونيسيا، ماليزيا، سنغافورة,6,أرز ياسمين:12 | بيض:100 | صدور دجاج:10 | خيار:4 | صلصة صويا:2 | شاي:300,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إفطار تركي,إفطار / Breakfast,100,تركي / Turkish,تركيا، البوسنة، ألبانيا,6,بيض:100 | جبنة فيتا:6 | خيار:5 | طماطم:5 | خبز عربي:120 | شاي:300,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
